time,x,y,theta
1702607776002270.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776042757.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776083217.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776123679.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776164131.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776204717.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776246242.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776286691.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776327157.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776367984.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776408577.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776449065.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776489533.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776529995.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776570452.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776611027.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776652659.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776693117.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776733572.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776774034.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776814609.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776855097.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776895567.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776936024.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607776976488.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777018001.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777058498.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777098964.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777139419.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777179880.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777220464.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777260963.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777301430.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777341900.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777382426.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777423971.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777464452.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
1702607777504904.0,-7.483487607373718e-09,0.0,-5.3137188871232865e-08
