time,vx,vy,wz
1702621635022171.0,0.0,0.0,0.0
1702621635059529.0,0.0,0.0,0.0
1702621635100501.0,0.0,0.0,0.0
1702621635139837.0,0.0,0.0,0.0
1702621635181154.0,0.0,0.0,0.0
1702621635221432.0,0.0,0.0,0.0
1702621635268903.0,0.0,0.0,0.0
1702621635306147.0,0.0,0.0,0.0
1702621635341778.0,0.0,0.0,0.0
1702621635387462.0,0.0,0.0,0.0
1702621635426326.0,0.0,0.0,0.0
1702621635465291.0,0.0,0.0,0.0
1702621635506189.0,0.0,0.0,0.0
1702621635534298.0,0.0,0.0,0.0
1702621635547676.0,0.0,0.0,0.0
1702621635586668.0,0.0,0.0,0.0
1702621635627272.0,0.0,0.0,0.0
1702621635670769.0,0.0,0.0,0.0
1702621635711840.0,0.0,0.0,0.0
1702621635750058.0,0.0,0.0,0.0
1702621635793072.0,0.0,0.0,0.0
1702621635832283.0,0.0,0.0,0.0
1702621635872212.0,0.0,0.0,0.0
1702621635911995.0,0.0,0.0,0.0
1702621635951109.0,0.0,0.0,0.0
1702621635996028.0,0.0,0.0,0.0
1702621636035756.0,0.0,0.0,0.0
1702621636077919.0,0.0,0.0,0.0
1702621636114481.0,0.0,0.0,0.0
1702621636156013.0,0.0,0.0,0.0
1702621636196090.0,0.0,0.0,0.0
1702621636237243.0,0.0,0.0,0.0
1702621636280705.0,0.0,0.0,0.0
1702621636318268.0,0.0,0.0,0.0
1702621636360982.0,0.0,0.0,0.0
1702621636379821.0,0.0,0.0,0.0
1702621636398934.0,0.20000000298023224,0.0,0.0
1702621636441212.0,0.20000000298023224,0.0,0.0
1702621636479892.0,0.20000000298023224,0.0,-0.009849430061876774
1702621636521289.0,0.20000000298023224,0.0,-0.03945727273821831
1702621636534558.0,0.20000000298023224,0.0,-0.03945727273821831
1702621636563269.0,0.20000000298023224,0.0,-0.05924305319786072
1702621636601479.0,0.20000000298023224,0.0,-0.07438495010137558
1702621636642428.0,0.20000000298023224,0.0,-0.08479492366313934
1702621636683707.0,0.20000000298023224,0.0,-0.06575984507799149
1702621636724130.0,0.20000000298023224,0.0,-0.046585507690906525
1702621636769983.0,0.20000000298023224,0.0,-0.027681373059749603
1702621636806981.0,0.20000000298023224,0.0,-0.008272027596831322
1702621636845155.0,0.20000000298023224,0.0,0.016276897862553596
1702621636885922.0,0.20000000298023224,0.0,0.026273004710674286
1702621636931918.0,0.20000000298023224,0.0,0.02157493308186531
1702621636967421.0,0.20000000298023224,0.0,0.002058271085843444
1702621637014147.0,0.20000000298023224,0.0,-0.012662793509662151
1702621637050490.0,0.20000000298023224,0.0,-0.027543947100639343
1702621637089493.0,0.20000000298023224,0.0,-0.04749802500009537
1702621637129886.0,0.20000000298023224,0.0,-0.06271551549434662
1702621637170199.0,0.20000000298023224,0.0,-0.07769658416509628
1702621637210755.0,0.20000000298023224,0.0,-0.07351028919219971
1702621637252443.0,0.20000000298023224,0.0,-0.07911868393421173
1702621637290764.0,0.20000000298023224,0.0,-0.07986767590045929
1702621637336794.0,0.20000000298023224,0.0,-0.0658627301454544
1702621637370832.0,0.20000000298023224,0.0,-0.06157553195953369
1702621637412880.0,0.20000000298023224,0.0,-0.04252281412482262
1702621637454017.0,0.20000000298023224,0.0,-0.028204666450619698
1702621637495261.0,0.20000000298023224,0.0,-0.018894294276833534
1702621637534732.0,0.20000000298023224,0.0,-0.018894294276833534
1702621637536901.0,0.20000000298023224,0.0,-0.01416048128157854
1702621637574450.0,0.20000000298023224,0.0,-0.02456502988934517
1702621637617163.0,0.20000000298023224,0.0,-0.01990610361099243
1702621637657388.0,0.20000000298023224,0.0,-0.02994287945330143
1702621637700860.0,0.20000000298023224,0.0,-0.040112417191267014
1702621637742230.0,0.20000000298023224,0.0,-0.05040348321199417
1702621637777011.0,0.20000000298023224,0.0,-0.041099485009908676
1702621637823339.0,0.20000000298023224,0.0,-0.03170425072312355
1702621637861230.0,0.20000000298023224,0.0,-0.017323315143585205
1702621637901921.0,0.20000000298023224,0.0,-0.002756591187790036
1702621637943865.0,0.20000000298023224,0.0,0.016522791236639023
1702621637981724.0,0.20000000298023224,0.0,0.03642318397760391
1702621638031003.0,0.20000000298023224,0.0,0.046701546758413315
1702621638065811.0,0.20000000298023224,0.0,0.03252020850777626
1702621638110134.0,0.20000000298023224,0.0,0.02305372804403305
1702621638145775.0,0.20000000298023224,0.0,0.01840226911008358
1702621638186060.0,0.20000000298023224,0.0,0.023547664284706116
1702621638227518.0,0.20000000298023224,0.0,0.018906120210886
1702621638267621.0,0.20000000298023224,0.0,0.019137868657708168
1702621638306347.0,0.20000000298023224,0.0,0.019376441836357117
1702621638352497.0,0.20000000298023224,0.0,0.019616076722741127
