time,vx,vy,wz
1702607776002270.0,0.0,0.0,-0.0
1702607776042757.0,0.0,0.0,-0.0
1702607776083217.0,0.0,0.0,-0.0
1702607776123679.0,0.0,0.0,-0.0
1702607776164131.0,0.0,0.0,-0.0
1702607776204717.0,0.0,0.0,-0.0
1702607776246242.0,0.0,0.0,-0.0
1702607776286691.0,0.0,0.0,-0.0
1702607776327157.0,0.0,0.0,-0.0
1702607776367984.0,0.0,0.0,-0.0
1702607776408577.0,0.0,0.0,-0.0
1702607776449065.0,0.0,0.0,-0.0
1702607776489533.0,0.0,0.0,-0.0
1702607776529995.0,0.0,0.0,-0.0
1702607776570452.0,0.0,0.0,-0.0
1702607776611027.0,0.0,0.0,-0.0
1702607776652659.0,0.0,0.0,-0.0
1702607776693117.0,0.0,0.0,-0.0
1702607776733572.0,0.0,0.0,-0.0
1702607776774034.0,0.0,0.0,-0.0
1702607776814609.0,0.0,0.0,-0.0
1702607776855097.0,0.0,0.0,-0.0
1702607776895567.0,0.0,0.0,-0.0
1702607776936024.0,0.0,0.0,-0.0
1702607776976488.0,0.0,0.0,-0.0
1702607777018001.0,0.0,0.0,-0.0
1702607777058498.0,0.0,0.0,-0.0
1702607777098964.0,0.0,0.0,-0.0
1702607777139419.0,0.0,0.0,-0.0
1702607777179880.0,0.0,0.0,-0.0
1702607777220464.0,0.0,0.0,-0.0
1702607777260963.0,0.0,0.0,-0.0
1702607777301430.0,0.0,0.0,-0.0
1702607777341900.0,0.0,0.0,-0.0
1702607777382426.0,0.0,0.0,-0.0
1702607777423971.0,0.0,0.0,-0.0
1702607777464452.0,0.0,0.0,-0.0
1702607777504904.0,0.0,0.0,-0.0
1702607777545370.0,0.0,0.0,-0.0
1702607777585852.0,0.08115509152412415,0.0,-0.22163428366184235
1702607777626458.0,0.11306272447109222,0.0,-0.08592791110277176
1702607777666953.0,0.1362551748752594,0.0,0.06154527887701988
1702607777707433.0,0.16127771139144897,0.0,0.03694082424044609
1702607777747902.0,0.17485173046588898,0.0,0.12316975742578506
1702607777789267.0,0.17615550756454468,0.0,0.0602509081363678
1702607777829848.0,0.18163453042507172,0.0,0.06141486391425133
1702607777870353.0,0.18301521241664886,0.0,0.024612069129943848
1702607777910822.0,0.18317800760269165,0.0,0.0
1702607777951295.0,0.18315991759300232,0.0,0.0
1702607777991764.0,0.18213722109794617,0.0,-0.012317011132836342
1702607778032343.0,0.1857953518629074,0.0,-0.012283491902053356
1702607778072842.0,0.18304231762886047,0.0,-0.024615727365016937
1702607778113310.0,0.1863049566745758,0.0,0.01231724675744772
1702607778153790.0,0.188330739736557,0.0,-0.01231358852237463
1702607778195614.0,0.18731412291526794,0.0,-0.02383582293987274
1702607778236210.0,0.18675507605075836,0.0,0.0
1702607778276716.0,0.18509036302566528,0.0,-0.07383432239294052
1702607778317202.0,0.18518179655075073,0.0,0.0
1702607778357676.0,0.1831553727388382,0.0,-0.04926178604364395
1702607778395652.0,0.19742125272750854,0.0,-0.02625107206404209
1702607778436261.0,0.18669527769088745,0.0,-0.02454904466867447
1702607778477907.0,0.1881147176027298,0.0,0.0
1702607778518387.0,0.1862497180700302,0.0,-0.06156817823648453
