time,left_motor_vel,right_motor_vel
1702621635010176.0,0.0,0.0
1702621635050635.0,0.0,0.0
1702621635091090.0,0.0,0.0
1702621635131548.0,0.0,0.0
1702621635172116.0,0.0,0.0
1702621635213632.0,0.0,0.0
1702621635254083.0,0.0,0.0
1702621635294534.0,0.0,0.0
1702621635334991.0,0.0,0.0
1702621635375566.0,0.0,0.0
1702621635416071.0,0.0,0.0
1702621635456540.0,0.0,0.0
1702621635496994.0,0.0,0.0
1702621635541724.0,0.0,0.0
1702621635582310.0,0.0,0.0
1702621635622797.0,0.0,0.0
1702621635663255.0,0.0,0.0
1702621635704782.0,0.0,0.0
1702621635745238.0,0.0,0.0
1702621635785808.0,0.0,0.0
1702621635826293.0,0.0,0.0
1702621635866757.0,0.0,0.0
1702621635907226.0,0.0,0.0
1702621635947691.0,0.0,0.0
1702621635988264.0,0.0,0.0
1702621636029869.0,0.0,0.0
1702621636070338.0,0.0,0.0
1702621636110797.0,0.0,0.0
1702621636151246.0,0.0,0.0
1702621636191827.0,0.0,0.0
1702621636232299.0,0.0,0.0
1702621636272758.0,0.0,0.0
1702621636313211.0,0.0,0.0
1702621636353671.0,0.0,0.0
1702621636395141.0,0.0,0.0
1702621636435643.0,0.0,0.0
1702621636476129.0,2.6860504150390625,-2.7855336666107178
1702621636516597.0,2.637481212615967,-2.9360642433166504
1702621636557369.0,3.2599217891693115,-3.4574928283691406
1702621636597970.0,3.96806263923645,-4.116865158081055
1702621636638483.0,4.374350070953369,-4.473767280578613
1702621636678963.0,4.62666130065918,-4.4276652336120605
1702621636719432.0,4.727444171905518,-4.528393745422363
1702621636760779.0,4.77317476272583,-4.5783514976501465
1702621636801373.0,4.911324501037598,-4.712886810302734
1702621636841867.0,4.823988914489746,-4.575329780578613
1702621636882323.0,4.778741836547852,-4.679184913635254
1702621636922798.0,4.726743221282959,-4.776498794555664
1702621636963264.0,4.727794647216797,-4.926859378814697
1702621637003846.0,4.664656639099121,-4.813528537750244
1702621637044351.0,4.72324275970459,-4.872397422790527
1702621637084819.0,4.62803316116333,-4.827088356018066
1702621637125284.0,4.727911472320557,-4.877213954925537
1702621637166795.0,4.657290458679199,-4.802830696105957
1702621637207406.0,4.810091018676758,-4.760502815246582
1702621637247906.0,4.723825454711914,-4.773550033569336
1702621637288381.0,4.776498794555664,-4.776498794555664
1702621637328850.0,4.926494598388672,-4.7772064208984375
1702621637369324.0,4.826373100280762,-4.77661657333374
1702621637409868.0,5.016722202301025,-4.818040370941162
1702621637450429.0,4.964970111846924,-4.816020965576172
1702621637491976.0,4.944083213806152,-4.847140312194824
1702621637532446.0,4.876611232757568,-4.826849937438965
1702621637571349.0,5.073039531707764,-5.176570892333984
1702621637611920.0,4.864470958709717,-4.814833641052246
1702621637652509.0,4.862313747406006,-4.961544513702393
1702621637692996.0,4.824823379516602,-4.924304008483887
1702621637733469.0,4.87624979019165,-4.975765228271484
1702621637773930.0,4.927468299865723,-4.827923774719238
1702621637814395.0,4.976748943328857,-4.877213954925537
1702621637854985.0,4.961422443389893,-4.81257963180542
1702621637895489.0,5.0713958740234375,-4.922237396240234
1702621637936789.0,4.924890518188477,-4.7298455238342285
1702621637977254.0,4.976748943328857,-4.777678966522217
1702621638017730.0,4.925642490386963,-4.82613468170166
1702621638058321.0,4.8124613761901855,-4.961300373077393
1702621638098812.0,4.724875450134277,-4.824346542358398
1702621638139280.0,4.777324676513672,-4.827088356018066
1702621638179743.0,4.728145122528076,-4.678375244140625
1702621638220213.0,4.727327346801758,-4.777088642120361
1702621638261738.0,4.752714157104492,-4.752714157104492
1702621638302235.0,4.773903846740723,-4.773903846740723
1702621638342699.0,4.67825984954834,-4.67825984954834
1702621638383160.0,4.778151035308838,-4.927468299865723
1702621638423619.0,4.728612899780273,-4.877937316894531
1702621638464219.0,4.712190628051758,-4.960200786590576
1702621638504711.0,4.824227809906006,-4.824227809906006
1702621638546696.0,4.508779048919678,-4.700642108917236
1702621638587166.0,4.727327346801758,-4.876611232757568
1702621638627630.0,4.8773345947265625,-4.827565670013428
1702621638669256.0,4.8863205909729,-4.8379411697387695
1702621638709743.0,4.974044322967529,-4.775082588195801
1702621638750219.0,4.925642490386963,-4.82613468170166
1702621638790689.0,4.976133823394775,-4.876611232757568
1702621638831145.0,4.928077697753906,-4.878299236297607
1702621638871730.0,4.912413597106934,-4.912413597106934
1702621638912221.0,4.9238176345825195,-4.9238176345825195
1702621638952681.0,4.9275898933410645,-4.977363586425781
1702621638993144.0,4.927225112915039,-4.927225112915039
1702621639034584.0,4.908252716064453,-4.908252716064453
1702621639075175.0,4.91168737411499,-4.862074375152588
1702621639115678.0,4.922358989715576,-4.822917461395264
1702621639156146.0,4.876852035522461,-4.827088356018066
1702621639196614.0,4.876852035522461,-4.827088356018066
1702621639237081.0,4.9267377853393555,-4.827207565307617
1702621639277669.0,4.961667060852051,-4.763200759887695
1702621639318176.0,4.921873092651367,-4.872157096862793
1702621639358665.0,4.8245849609375,-4.874322891235352
1702621639399130.0,4.827446460723877,-4.926981449127197
1702621639440576.0,4.907541751861572,-4.810362815856934
1702621639481161.0,4.86279296875,-4.813172817230225
1702621639521668.0,4.822441101074219,-4.7727251052856445
1702621639560682.0,4.955369472503662,-5.110224723815918
1702621639601156.0,4.77661657333374,-4.77661657333374
1702621639641623.0,4.727677822113037,-4.827207565307617
1702621639682214.0,4.762848377227783,-4.91168737411499
1702621639722706.0,4.774493217468262,-4.973430633544922
1702621639763187.0,4.726042747497559,-4.925034046173096
1702621639804448.0,4.78312349319458,-4.978353023529053
1702621639844913.0,4.727911472320557,-4.827446460723877
1702621639885502.0,4.862313747406006,-4.961544513702393
1702621639925998.0,5.022668361663818,-4.873480319976807
1702621639966466.0,5.026143550872803,-4.976379871368408
1702621640006935.0,5.075782299041748,-4.826969146728516
1702621640047401.0,5.125924587249756,-4.976625919342041
1702621640087991.0,5.060650825500488,-4.862194061279297
1702621640128480.0,5.073275089263916,-5.0235371589660645
1702621640168958.0,4.9751505851745605,-4.925398826599121
1702621640210539.0,4.940040588378906,-5.0369038581848145
1702621640251003.0,4.976871967315674,-4.927103042602539
1702621640291589.0,4.862673282623291,-5.110768795013428
1702621640332077.0,4.973921775817871,-4.973921775817871
1702621640372548.0,5.075531482696533,-4.976011276245117
1702621640413025.0,4.975273609161377,-4.875768184661865
1702621640453496.0,5.075531482696533,-4.92625093460083
1702621640494088.0,5.060401439666748,-4.911566257476807
1702621640535667.0,5.03714656829834,-4.988712310791016
1702621640575373.0,5.0718817710876465,-4.970444202423096
1702621640615843.0,4.926372528076172,-4.926372528076172
1702621640656314.0,4.876491069793701,-4.826730728149414
1702621640696893.0,4.813884735107422,-4.962767601013184
1702621640737396.0,4.822917461395264,-4.822917461395264
1702621640777864.0,4.777324676513672,-4.876852035522461
1702621640818334.0,4.727327346801758,-4.677566051483154
1702621640858800.0,4.777560710906982,-4.777560710906982
1702621640899398.0,4.712422847747803,-4.762027263641357
1702621640939888.0,4.774728775024414,-4.874202728271484
1702621640981265.0,4.623702526092529,-4.672372817993164
1702621641021733.0,4.727560997009277,-4.827088356018066
1702621641062218.0,4.626090049743652,-4.775318622589111
1702621641102798.0,4.615260124206543,-4.863392353057861
1702621641143307.0,4.623349189758301,-4.772489547729492
1702621641183775.0,4.727560997009277,-4.727560997009277
1702621641224258.0,4.775554656982422,-4.725809574127197
1702621641264727.0,4.7772064208984375,-4.6776814460754395
1702621641306267.0,4.460120677947998,-4.266202449798584
1702621641346752.0,3.9794323444366455,-3.6809749603271484
1702621641387220.0,3.433701992034912,-3.1351194381713867
1702621641427687.0,2.9361367225646973,-2.836606502532959
1702621641468146.0,2.7873926162719727,-2.3891937732696533
1702621641508735.0,1.984617829322815,-1.8853869438171387
1702621641549715.0,0.6388466954231262,-0.49142056703567505
1702621641590208.0,1.4422591924667358,0.6465299725532532
1702621641630686.0,1.6915512084960938,1.1940361261367798
1702621641671163.0,0.9950547218322754,1.9403566122055054
1702621641711746.0,1.5383063554763794,1.8360430002212524
1702621641752241.0,1.5416491031646729,1.9892246723175049
1702621641792958.0,1.6321626901626587,2.0278384685516357
1702621641833423.0,1.6423271894454956,2.0404670238494873
1702621641873879.0,1.5929139852523804,2.0906996726989746
1702621641914470.0,1.5876160860061646,1.9845200777053833
1702621641954972.0,1.5413826704025269,1.9888808727264404
1702621641995452.0,1.5422204732894897,2.0894598960876465
1702621642035925.0,1.5424872636795044,2.0400636196136475
1702621642076380.0,1.5431735515594482,1.9911916255950928
1702621642116973.0,1.537927269935608,2.0836434364318848
1702621642157468.0,1.4919185638427734,2.0389552116394043
1702621642198884.0,1.4587416648864746,2.1394877433776855
1702621642239370.0,1.541991949081421,2.1388919353485107
1702621642279843.0,1.44297194480896,2.0898213386535645
1702621642321150.0,1.5600969791412354,2.0963802337646484
1702621642361650.0,1.4420099258422852,2.1878769397735596
1702621642402126.0,1.393110990524292,2.0896663665771484
1702621642442606.0,1.4427223205566406,2.0894598960876465
1702621642484207.0,1.4522545337677002,2.1299734115600586
1702621642524864.0,1.4859739542007446,2.1298959255218506
1702621642565780.0,1.5257866382598877,2.165632724761963
1702621642606269.0,1.442401647567749,2.188471555709839
1702621642647747.0,1.5536651611328125,2.136289596557617
1702621642688224.0,1.3930765390396118,2.0896148681640625
1702621642729625.0,1.4592701196670532,2.091620445251465
1702621642770125.0,1.4420099258422852,2.038703680038452
1702621642810604.0,1.4925082921981812,2.0895116329193115
1702621642851079.0,1.4429006576538086,2.0897181034088135
1702621642891556.0,1.4428292512893677,1.9901094436645508
1702621642932150.0,1.5378894805908203,1.9347641468048096
1702621642972645.0,1.3924572467803955,1.9892246723175049
1702621643013118.0,1.393214225769043,1.8410331010818481
1702621643053595.0,1.4428292512893677,1.9403566122055054
1702621643094062.0,1.5427159070968628,1.891071081161499
1702621643135685.0,1.4031040668487549,1.8385502099990845
1702621643176179.0,1.3924916982650757,1.8898102045059204
1702621643216653.0,1.4429363012313843,1.9405004978179932
1702621643257131.0,1.5422966480255127,1.8408056497573853
1702621643297587.0,1.3937997817993164,1.7920281887054443
1702621643338191.0,1.3887193202972412,1.884690523147583
1702621643378682.0,1.392594814300537,1.889950156211853
1702621643419152.0,1.2440334558486938,1.592362880706787
1702621643460804.0,2.0306668281555176,-2.1273653507232666
1702621643501282.0,2.3880722522735596,-2.587078332901001
1702621643542993.0,2.8485686779022217,-3.717623472213745
1702621643583500.0,3.3309645652770996,-4.474430084228516
1702621643623983.0,3.681156873703003,-4.526827812194824
1702621643664435.0,3.8831117153167725,-4.629863739013672
1702621643704915.0,4.129170894622803,-4.527163028717041
1702621643745503.0,4.267033576965332,-4.267033576965332
1702621643786014.0,4.424276828765869,-4.324854850769043
1702621643826493.0,4.477524757385254,-4.328273773193359
1702621643868265.0,4.5317702293396,-4.2907185554504395
1702621643908735.0,4.627804756164551,-4.279475212097168
1702621643949320.0,4.465830326080322,-4.515450954437256
1702621643989825.0,4.524369239807129,-4.375214099884033
1702621644030288.0,4.5290656089782715,-4.479295253753662
1702621644070759.0,4.577929973602295,-4.577929973602295
1702621644111221.0,4.529177188873291,-4.67849063873291
1702621644151813.0,4.613895416259766,-4.613895416259766
1702621644193161.0,4.675650119781494,-4.578240394592285
1702621644233638.0,4.627004146575928,-4.627004146575928
1702621644274104.0,4.578495502471924,-4.628262042999268
1702621644314571.0,4.57838249206543,-4.677912712097168
1702621644355166.0,4.663162708282471,-4.61355447769165
1702621644395665.0,4.624490737915039,-4.723942279815674
1702621644436150.0,4.576347351074219,-4.626090049743652
1702621644476613.0,4.728145122528076,-4.628605365753174
1702621644517083.0,4.627804756164551,-4.528282165527344
1702621644556980.0,4.795220851898193,-4.744745254516602
1702621644598449.0,4.710569858551025,-4.564882278442383
1702621644638926.0,4.776262283325195,-4.577251434326172
1702621644679384.0,4.778505325317383,-4.529624938964844
1702621644719848.0,4.628490924835205,-4.57872200012207
1702621644760425.0,4.7148613929748535,-4.7148613929748535
1702621644801021.0,4.563834190368652,-4.613440990447998
1702621644841505.0,4.626204490661621,-4.7256927490234375
1702621644881984.0,4.577025413513184,-4.676526069641113
1702621644922466.0,4.576685905456543,-4.6761794090271
1702621644964001.0,4.557628631591797,-4.509142875671387
1702621645004586.0,4.614691257476807,-4.565071105957031
1702621645045094.0,4.573748588562012,-4.573748588562012
1702621645085567.0,4.527946472167969,-4.6274614334106445
1702621645126027.0,4.4796271324157715,-4.4796271324157715
1702621645166496.0,4.6776814460754395,-4.627918720245361
1702621645207100.0,4.562934875488281,-4.711726188659668
1702621645247608.0,4.524034023284912,-4.722892761230469
1702621645288080.0,4.627575874328613,-4.727093696594238
1702621645329672.0,4.502963542938232,-4.648220062255859
1702621645370137.0,4.578608989715576,-4.777678966522217
1702621645410730.0,4.713003158569336,-4.663392543792725
1702621645451220.0,4.774728775024414,-4.675255298614502
1702621645491695.0,4.826253890991211,-4.676988124847412
1702621645532155.0,4.828042984008789,-4.828042984008789
1702621645572763.0,4.711262226104736,-4.612077713012695
1702621645613355.0,4.911566257476807,-4.762731075286865
1702621645653858.0,4.773196697235107,-4.624034404754639
1702621645695182.0,4.77583122253418,-4.873297214508057
1702621645735652.0,4.727327346801758,-4.777088642120361
1702621645776122.0,4.777088642120361,-4.777088642120361
1702621645816716.0,4.762496471405029,-4.712886810302734
1702621645857214.0,4.823513031005859,-4.823513031005859
1702621645897677.0,4.728145122528076,-4.777915000915527
1702621645938155.0,4.776144504547119,-4.776144504547119
1702621645978607.0,4.82899808883667,-4.679647445678711
1702621646019192.0,4.86279296875,-4.713932037353516
1702621646059691.0,4.773667812347412,-4.6742167472839355
1702621646101132.0,4.762348175048828,-4.810943126678467
1702621646141588.0,4.778741836547852,-4.679184913635254
1702621646182063.0,4.776498794555664,-4.726743221282959
1702621646222652.0,4.713467597961426,-4.763082981109619
1702621646263158.0,4.72312593460083,-4.72312593460083
1702621646303638.0,4.67641019821167,-4.62666130065918
1702621646344108.0,4.677566051483154,-4.627804756164551
1702621646384576.0,4.677797317504883,-4.727560997009277
1702621646425169.0,4.564171314239502,-4.713003158569336
1702621646466504.0,4.677120685577393,-4.774560451507568
1702621646506983.0,4.577025413513184,-4.726276397705078
1702621646544315.0,5.124690055847168,-5.340466499328613
1702621646584834.0,4.622208118438721,-4.821012496948242
1702621646625426.0,4.564283847808838,-4.861954689025879
1702621646665914.0,4.725225448608398,-4.725225448608398
1702621646706382.0,4.777324676513672,-4.876852035522461
1702621646746840.0,4.9278340339660645,-4.728729248046875
1702621646787316.0,4.975396156311035,-4.77638053894043
1702621646827895.0,4.8635125160217285,-4.665001392364502
1702621646868397.0,4.972202301025391,-4.823036193847656
1702621646909956.0,4.942655563354492,-4.748826026916504
1702621646950422.0,4.827326774597168,-4.877093315124512
1702621646990879.0,4.778623580932617,-4.778623580932617
1702621647031477.0,4.762027263641357,-4.762027263641357
1702621647071969.0,4.824227809906006,-4.873961925506592
1702621647112445.0,4.676872730255127,-4.875888347625732
1702621647152916.0,4.776970863342285,-4.876491069793701
1702621647193382.0,4.827326774597168,-4.827326774597168
1702621647234699.0,4.825382232666016,-4.6791582107543945
1702621647275191.0,4.824227809906006,-4.724759101867676
1702621647315662.0,4.92625093460083,-4.776970863342285
1702621647356127.0,4.827446460723877,-4.628376483917236
1702621647396601.0,4.876129627227783,-4.677103519439697
1702621647437195.0,4.712886810302734,-4.712886810302734
1702621647477688.0,4.724642276763916,-4.824108600616455
1702621647518157.0,4.578156471252441,-4.6776814460754395
1702621647561801.0,4.429676055908203,-4.383533477783203
1702621647602266.0,4.628376483917236,-4.6781439781188965
1702621647643930.0,4.591852188110352,-4.78519344329834
1702621647684420.0,4.57578182220459,-4.57578182220459
1702621647724900.0,4.477414131164551,-4.527163028717041
1702621647765371.0,4.42864990234375,-4.826730728149414
1702621647805833.0,4.877575397491455,-4.827804088592529
1702621647846428.0,4.514338493347168,-4.663162708282471
1702621647886919.0,4.625404357910156,-4.675139904022217
1702621647927387.0,4.727560997009277,-4.677797317504883
1702621647967853.0,4.578495502471924,-4.678028106689453
1702621648008334.0,4.726042747497559,-4.775790214538574
1702621648050000.0,4.688297748565674,-4.639965057373047
1702621648090506.0,4.822559833526611,-4.72312593460083
1702621648132099.0,4.793361663818359,-4.744944095611572
1702621648172573.0,4.876129627227783,-4.726860046386719
1702621648213041.0,4.876852035522461,-4.677797317504883
1702621648253639.0,4.960444927215576,-4.762027263641357
1702621648294976.0,4.823047161102295,-4.725611686706543
1702621648335458.0,4.825418949127197,-4.825418949127197
1702621648376010.0,4.767428874969482,-4.71776819229126
1702621648416489.0,4.925277233123779,-4.82577657699585
1702621648457084.0,4.811987400054932,-4.762379169464111
1702621648497587.0,4.624034404754639,-4.773196697235107
1702621648537710.0,4.416869163513184,-4.266294002532959
1702621648578222.0,3.7779412269592285,-3.7779412269592285
1702621648618681.0,3.2851414680480957,-3.2353665828704834
1702621648660146.0,2.9626028537750244,-2.671199321746826
1702621648700644.0,2.536073684692383,-2.2377121448516846
1702621648741121.0,1.9901094436645508,-2.0398621559143066
1702621648781591.0,0.6468974351882935,-0.49761340022087097
1702621648822065.0,1.3434233665466309,0.6965899467468262
1702621648862662.0,1.6865928173065186,1.2897474765777588
1702621648903178.0,1.1929161548614502,1.9384888410568237
1702621648943654.0,1.5921268463134766,1.8408966064453125
1702621648984131.0,1.5920875072479248,1.9403566122055054
1702621649024607.0,1.641880750656128,1.9901585578918457
1702621649065944.0,1.5102471113204956,2.0461411476135254
1702621649106438.0,1.541687250137329,1.9892739057540894
1702621649146917.0,1.5920088291168213,1.9900109767913818
1702621649187397.0,1.7412166595458984,1.989961862564087
1702621649227859.0,1.5926777124404907,1.990847110748291
1702621649268444.0,1.6374711990356445,2.0840542316436768
1702621649308940.0,1.5913405418395996,1.9891756772994995
1702621649349434.0,1.541687250137329,2.039005756378174
1702621649389915.0,1.5919301509857178,1.9401649236679077
1702621649431297.0,1.5572694540023804,2.092580795288086
1702621649471884.0,1.5381547212600708,2.0343337059020996
1702621649512384.0,1.5414588451385498,2.088428020477295
1702621649549216.0,1.6402921676635742,2.1323797702789307
1702621649589685.0,1.5924022197723389,2.0402653217315674
1702621649630159.0,1.4429363012313843,1.990256905555725
1702621649670745.0,1.4389543533325195,1.984764575958252
1702621649711239.0,1.4422235488891602,2.0887374877929688
1702621649751715.0,1.5423729419708252,1.9404046535491943
1702621649792184.0,1.5426396131515503,1.9905028343200684
1702621649832654.0,1.443078875541687,2.040215015411377
1702621649874013.0,1.3146768808364868,2.0450527667999268
1702621649914507.0,1.541687250137329,2.039005756378174
1702621649954987.0,1.4427223205566406,1.989961862564087
1702621649995469.0,1.4426510334014893,2.0396101474761963
1702621650035940.0,1.3932831287384033,1.9904043674468994
1702621650076523.0,1.3894380331039429,2.133779764175415
1702621650117030.0,1.3423290252685547,1.988635540008545
1702621650157511.0,1.2436953783035278,1.989912748336792
1702621650198917.0,1.3131844997406006,1.9454585313796997
1702621650239389.0,1.2439720630645752,2.0898730754852295
1702621650280001.0,1.3388584852218628,1.9834940433502197
1702621650320496.0,1.2929960489273071,2.088685989379883
1702621650360975.0,1.144256353378296,2.0895116329193115
1702621650401434.0,1.3439215421676636,2.0905444622039795
1702621650441899.0,1.2441872358322144,2.1400020122528076
1702621650482509.0,1.2893345355987549,2.181950807571411
1702621650523001.0,1.293091893196106,2.039106607437134
1702621650562788.0,1.3666201829910278,2.176469326019287
1702621650604438.0,1.3054914474487305,2.079115867614746
1702621650644913.0,1.3931454420089722,2.1394731998443604
1702621650685506.0,1.0914323329925537,1.8852012157440186
1702621650726021.0,1.7397124767303467,-2.0379488468170166
1702621650766502.0,1.989912748336792,-2.7858777046203613
1702621650806978.0,2.636960029602051,-3.93056321144104
1702621650847446.0,3.1848831176757812,-4.727560997009277
1702621650888025.0,3.67244815826416,-4.764256954193115
1702621650929474.0,3.9354665279388428,-4.7128424644470215
1702621650969944.0,4.4287590980529785,-4.478520393371582
1702621651010419.0,4.676988124847412,-4.378457069396973
1702621651050889.0,4.826849937438965,-4.3292365074157715
1702621651091458.0,4.815071105957031,-4.2193922996521
1702621651131976.0,4.920536518096924,-4.324108123779297
1702621651172441.0,4.628376483917236,-4.3795390129089355
1702621651212904.0,4.678375244140625,-4.479295253753662
1702621651293821.0,4.481177806854248,-4.730132102966309
1702621651335466.0,4.497232913970947,-4.690661907196045
1702621651375954.0,4.476529598236084,-4.675486087799072
1702621651416425.0,4.528170108795166,-4.577929973602295
